,gamma,sigma,ouverture,authenticité,sociabilité,auto_promotion,exemplarité,communalité,spécificité
open to different cultures,0.8104488440977045,0.0620567089349989,0.8104,-,-,-,-,0.668638052761578,0.33136194723842205
cosmopolitan,0.6725642550556861,0.22978130741730246,0.6726,-,-,-,-,0.5175049745826001,0.48249502541739986
international view,0.8868274850816034,0.08240951650764118,0.8868,-,-,-,-,0.7997264476467241,0.20027355235327593
cultural exchange,0.457151152973726,0.23062120822405896,0.4572,-,-,-,-,0.3279962614126749,0.6720037385873251
personal life,0.7318996843822768,0.14621024935148197,-,0.7319,-,-,-,0.6035953251548595,0.3964046748451405
life experiences,0.7300613377632723,0.15138105307516492,-,0.7301,-,-,-,0.578735791533031,0.421264208466969
divers interests,0.7311358161443055,0.20278078797470106,-,0.7311,-,-,-,0.5925875344135814,0.40741246558641864
hobbies,0.7635814431057392,0.12234514729030994,-,0.7636,-,-,-,0.6081627693324518,0.39183723066754816
enjoy life,0.7412017003288915,0.06647970699126934,-,0.7412,-,-,-,0.5609257769260181,0.4390742230739819
meet new people,0.6320438810437802,0.3005990769054102,-,-,0.632,-,-,0.5639890935158893,0.43601090648411067
welcoming,0.587133015964753,0.4052766991407414,-,-,0.5871,-,-,0.5401265172126347,0.4598734827873653
friendly,0.8053301479116877,0.19542206954674235,-,-,0.8053,-,-,0.6971695432509531,0.30283045674904685
sociable,0.7031781588654822,0.34646810880116646,-,-,0.7032,-,-,0.6199617136689045,0.3800382863310955
interpersonal interaction,0.8758191486794178,0.07307732426818621,-,-,0.8758,-,-,0.7788531693361136,0.2211468306638864
thoughtful service,0.7123169800771217,0.14686860090122408,-,-,-,0.7123,-,0.5473762912204041,0.4526237087795959
attentive to needs,0.9730497739293501,0.057303587530945777,-,-,-,0.973,-,0.9506055722164974,0.04939442778350256
willing to help,0.6835259822399724,0.1579124645226685,-,-,-,0.6835,-,0.5096673118031535,0.4903326881968465
responsive,0.5678114078733967,0.100170217802116,-,-,-,0.5678,-,0.34263799800554773,0.6573620019944523
fan of Airbnb,0.9172022777612754,0.10226401000814336,-,-,-,-,0.9172,0.8531272215483177,0.14687277845168234
Airbnb community,0.8178884982251863,0.15379345679897133,-,-,-,-,0.8179,0.7047076461033612,0.29529235389663877
love Airbnb,0.9371180901874496,0.08724811056507772,-,-,-,-,0.9371,0.8904756459633993,0.10952435403660066
travel with Airbnb,0.8363307940396396,0.05460080014890155,-,-,-,-,0.8363,0.7042562190859626,0.2957437809140374
