,Superhôte,Autres,ttest_p,significance
proportion,0.20892659335909006,0.79107340664091,,
review_scores_rating,4.856126988232251,4.675443989071038,0.0,***
number_of_reviews,55.82697530065951,21.87278005464481,5.960933146968957e-238,***
years_since_host,7.976205870942713,6.7200819672131145,1.0358894880357025e-181,***
professional_host,0.4144575197206776,0.42540983606557375,0.08232920826221395,
price,228.3742402689771,234.1675887978142,0.4083037606951382,
availability_30,12.877667140825036,16.373497267759564,7.217223500184969e-206,***
ouverture,0.05698110013874387,-0.08919273373919519,1.644223770342648e-17,***
authenticité,0.098879446031227,-0.17058507587454305,3.897942000370545e-58,***
sociabilité,0.1361519907002036,-0.08773296302254602,6.352407371188751e-38,***
auto_promotion,-0.012022870840729987,0.13615874275414935,2.3568420089917247e-18,***
exemplarité,-0.041217883812129076,0.006129534357486481,0.0034126617907935045,**
